進口小客車車型耗能證明104年12月核發資料,,,,,,,,,,,,
,,,,,,,,,,,,油耗單位：公里/公升
廠    牌,車        型,排檔,門,排氣量,參考車,耗能,市區,高速,油耗,申請,耗能證明,能源效率
,,型式,數,(c.c.),重(kg),標準,油耗,油耗,測試值,單位,核發日期,等    級
SUBARU,XV 2.0i-S AWD CVT,CVT,5D,1995.0 ,1535.0 ,9.9 ,11.26 ,17.17 ,14.4 ,台灣速霸陸,104/12/01,1級
SUBARU,XV 2.0i AWD CVT,CVT,5D,1995.0 ,1512.0 ,9.9 ,11.28 ,17.51 ,14.6 ,台灣速霸陸,104/12/01,1級
BMW(註一),X1 XDRIVE25D,A8,5D,1995.0 ,1786.0 ,9.9 ,14.65 ,19.11 ,17.2 ,汎德公司,104/12/01,1級
AUDI,A5 45 TFSI quattro (WITH HATCHBACK) 169kW,A7,4D,1984.0 ,1785.0 ,9.9 ,9.56 ,15.23 ,12.5 ,奧迪福斯,104/12/01,2級
AUDI,Q5 40 TFSI quattro 169kW,A8,5D,1984.0 ,1981.0 ,9.9 ,8.96 ,13.12 ,11.2 ,奧迪福斯,104/12/03,3級
VOLKSWAGEN,CC 330 TSI,A7,4D,1798.0 ,1626.0 ,11.3 ,9.46 ,15.38 ,12.5 ,奧迪福斯,104/12/03,4級
JAGUAR(註一),XF,A8,4D,1999.0 ,1844.0 ,9.9 ,14.97 ,21.23 ,18.4 ,九和汽車,104/12/03,1級
VOLKSWAGEN,GOLF VARIANT 180 TSI (WITH HATCHBACK),A7,4D,1197.0 ,1384.0 ,14.1 ,14.00 ,19.11 ,16.9 ,奧迪福斯,104/12/03,3級
VOLKSWAGEN,GOLF VARIANT 280 TSI (WITH HATCHBACK),A7,4D,1395.0 ,1442.0 ,11.3 ,14.47 ,20.14 ,17.6 ,奧迪福斯,104/12/03,1級
VOLKSWAGEN(註一),PASSAT VARIANT 400 TDI (WITH HATCHBACK),A6,4D,1968.0 ,1761.0 ,9.9 ,14.92 ,19.97 ,17.8 ,奧迪福斯,104/12/03,1級
VOLKSWAGEN,TOURAN 280 TSI (WITH HATCHBACK),A7,4D,1395.0 ,1605.0 ,11.3 ,13.39 ,17.83 ,15.9 ,奧迪福斯,104/12/04,1級
VOLKSWAGEN(註一),PASSAT 400 TDI,A6,4D,1968.0 ,1694.0 ,9.9 ,15.07 ,20.18 ,18.0 ,奧迪福斯,104/12/04,1級
VOLKSWAGEN(註一),TOURAN 280 TDI (WITH HATCHBACK),A7,4D,1598.0 ,1762.0 ,11.3 ,15.93 ,19.76 ,18.2 ,奧迪福斯,104/12/04,1級
INFINITI,QX50,A7,5D,3696.0 ,1965.0 ,7.4 ,6.18 ,11.43 ,8.7 ,裕隆汽車,104/12/07,3級
BMW,X1 SDRIVE18I (德國),A6,5D,1499.0 ,1586.0 ,11.3 ,10.71 ,18.63 ,14.6 ,汎德公司,104/12/09,2級
LOTUS,ELISE 220 CUP,M6,2D,1798.0 ,1052.0 ,11.3 ,9.92 ,15.99 ,13.0 ,嘉鎷興業,104/12/09,3級
SSANGYONG(註一),TIVOLI D16DTF 2WD,A6,5D,1597.0 ,1508.0 ,11.3 ,12.22 ,20.06 ,16.2 ,永嘉雙龍,104/12/10,1級
LEXUS,LS460L LUXURY,A8,4D,4608.0 ,2148.0 ,6.3 ,6.04 ,12.27 ,8.9 ,和泰汽車,104/12/11,1級
MAZDA(註一),CX-3 2WD(D),A6,5D,1499.0 ,1404.0 ,11.3 ,20.25 ,23.55 ,22.2 ,台灣馬自達,104/12/11,1級
JAGUAR,XF,A8,4D,2995.0 ,1956.0 ,8.7 ,7.91 ,14.22 ,11.0 ,九和汽車,104/12/16,2級
AUDI,A5 45 TFSI quattro 169kW,A7,2D,1984.0 ,1728.0 ,9.9 ,9.63 ,15.62 ,12.7 ,奧迪福斯,104/12/16,2級
SKODA,SUPERB 2.0 TSI,A6,4D,1984.0 ,1758.0 ,9.9 ,9.73 ,14.34 ,12.2 ,奧迪福斯,104/12/23,3級
SKODA,SUPERB COMBI 1.4 TSI (WITH HATCHBACK),A7,4D,1395.0 ,1569.0 ,11.3 ,14.07 ,19.40 ,17.0 ,奧迪福斯,104/12/23,1級
SKODA,SUPERB 1.4 TSI,A7,4D,1395.0 ,1532.0 ,11.3 ,12.35 ,18.64 ,15.7 ,奧迪福斯,104/12/23,1級
MERCEDES-BENZ,MAYBACH S500,A9,4D,4663.0 ,2410.0 ,6.3 ,5.27 ,10.00 ,7.5 ,北市公會,104/12/23,3級
Mercedes-AMG,AMG GT,A7,3D,3982.0 ,1731.0 ,7.4 ,6.20 ,11.15 ,8.6 ,台灣賓士,104/12/23,3級
SKODA,SUPERB COMBI 2.0 TSI (WITH HATCHBACK),A6,4D,1984.0 ,1790.0 ,9.9 ,9.15 ,13.13 ,11.3 ,奧迪福斯,104/12/25,3級
BMW,750LI SEDAN,A8,4D,4395.0 ,2156.0 ,6.3 ,5.87 ,12.88 ,8.9 ,汎德公司,104/12/25,1級
VOLVO(註一),XC90 D4,A8,5D,1969.0 ,2104.0 ,9.9 ,15.27 ,18.43 ,17.1 ,國際富豪,104/12/25,1級
SSANGYONG,TIVOLI G16DF AWD,A6,5D,1597.0 ,1506.0 ,11.3 ,8.32 ,14.41 ,11.4 ,永嘉雙龍,104/12/28,4級
LEXUS,GS350,A8,4D,3456.0 ,1858.0 ,8.0 ,7.06 ,13.18 ,10.0 ,和泰汽車,104/12/28,2級
LOTUS,EVORA 400,M6,2D,3456.0 ,1495.0 ,8.0 ,7.11 ,13.24 ,10.0 ,嘉鎷興業,104/12/28,2級
SSANGYONG(註一),TIVOLI D16DTF AWD,A6,5D,1597.0 ,1580.0 ,11.3 ,11.55 ,18.00 ,14.9 ,永嘉雙龍,104/12/31,2級
BMW,730I SEDAN (德國),A8,4D,1998.0 ,1887.0 ,9.9 ,9.30 ,16.07 ,12.7 ,汎德公司,104/12/31,2級
MERCEDES-BENZ,C180,A7,2D,1595.0 ,1598.0 ,11.3 ,12.50 ,18.33 ,15.6 ,台灣賓士,104/12/31,1級
,,,,,,,,,,,,
,,,,,,,,,,,,
註  ：未備註之車型係使用汽油，其油耗結果係依據歐盟1999/100/EC指令及其後續修正指令之測試方法執行。,,,,,,,,,,,,
註ㄧ：此車型係使用柴油，其油耗結果依據歐盟1999/100/EC指令及其後續修正指令之測試方法執行。,,,,,,,,,,,,
註二：能源效率等級分級基準，係依經濟部99年5月14日經授能字第09920082890號公告之附表11~附表12辦理。每個排氣量等級各分為5個,,,,,,,,,,,,
      能源效率等級，能源效率等級數字愈小者愈佳；但不同排氣量等級車輛之油耗表現比較，應以「油耗測試值」為準。,,,,,,,,,,,,
